Id,Country,Location Name,Mag,Deaths,Death Description,Total Deaths,Total Death Description
5568.0,JAPAN,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,6.1,1.0,1.0,1.0,1.0
5596.0,JAPAN,"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",6.8,2.0,1.0,2.0,1.0
5807.0,JAPAN,JAPAN:  HONSHU:  NIIGATA PREFECTURE,6.6,40.0,1.0,40.0,1.0
5856.0,JAPAN,"JAPAN:  KYUSHU:  FUKUOKA, GENKAI",6.6,1.0,1.0,1.0,1.0
7448.0,JAPAN,JAPAN:  HONSHU:  W COAST,6.7,1.0,1.0,1.0,1.0
7521.0,JAPAN,JAPAN:  HONSHU:  W COAST,6.6,9.0,1.0,9.0,1.0
7907.0,JAPAN,JAPAN:  HONSHU:  TOKYO,6.9,23.0,1.0,23.0,1.0
8164.0,JAPAN,JAPAN:  HONSHU:  N,6.8,1.0,1.0,1.0,1.0
8377.0,JAPAN,JAPAN:  HONSHU:  S COAST,6.4,1.0,1.0,1.0,1.0
9804.0,JAPAN,JAPAN: NEAR E COAST HONSHU,7.1,3.0,1.0,3.0,1.0
9841.0,JAPAN,JAPAN:  HONSHU,6.6,7.0,1.0,7.0,1.0
10342.0,JAPAN,JAPAN:  OSAKA,5.5,5.0,1.0,5.0,1.0
10360.0,JAPAN,JAPAN:  HOKKAIDO,6.6,44.0,1.0,44.0,1.0
10529.0,JAPAN,JAPAN:  OFF FUKUSHIMA,7.1,1.0,1.0,1.0,1.0
10605.0,JAPAN,JAPAN:  OFF FUKUSHIMA,7.3,4.0,1.0,4.0,1.0
10692.0,JAPAN,"JAPAN: HONSHU: ISHIKAWA, TOYAMA",6.2,1.0,1.0,1.0,1.0
4978.0,JAPAN,JAPAN:  HONSHU:  AKITA,7.7,4.0,1.0,104.0,3.0
3267.0,JAPAN,JAPAN:  HONSHU:  TAJIMA,6.8,395.0,3.0,395.0,3.0
3431.0,JAPAN,JAPAN:  HONSHU:  IDU,7.1,259.0,3.0,259.0,3.0
4940.0,JAPAN,"JAPAN:  HOKKAIDO, URAKAWA, HIROO",6.7,110.0,3.0,110.0,3.0
5357.0,JAPAN,JAPAN:  HOKKAIDO; RUSSIA:  SOUTHEAST; SOUTH KOREA,7.7,23.0,3.0,231.0,3.0
10177.0,JAPAN,"JAPAN:  KUMAMOTO, OITA",7.0,273.0,3.0,273.0,3.0
10727.0,JAPAN,JAPAN: HONSHU: ISHIKAWA,7.5,299.0,3.0,299.0,3.0
2999.0,JAPAN,JAPAN:  SENHOKU,7.2,94.0,2.0,94.0,2.0
4165.0,JAPAN,JAPAN:  RYUKYU ISLANDS,7.5,73.0,2.0,67.66666666666667,2.0
4438.0,JAPAN,JAPAN:  OFF EAST COAST OF HONSHU ISLAND,8.2,52.0,2.0,52.0,2.0
3227.0,JAPAN,"JAPAN:  TOKYO, YOKOHAMA",7.9,142807.0,4.0,142807.0,4.0
3306.0,JAPAN,JAPAN:  HONSHU:  SW,7.3,3022.0,4.0,3022.0,4.0
3755.0,JAPAN,JAPAN:  HONSHU:  S,7.4,1400.0,4.0,1400.0,4.0
3791.0,JAPAN,JAPAN:  OFF SOUTHEAST COAST KII PENINSULA,8.1,1223.0,4.0,1223.0,4.0
3797.0,JAPAN,JAPAN:  HONSHU:  S,7.1,2306.0,4.0,2306.0,4.0
3845.0,JAPAN,JAPAN:  HONSHU:  S COAST,8.3,1362.0,4.0,1362.0,4.0
