Id,Country,Location Name,Missing,Missing Description,Total Missing,Total Missing Description
5656.0,INDONESIA,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",,,,
5662.0,INDONESIA,INDONESIA:  SUMATERA:  SIMEULUE,,,,
5674.0,INDONESIA,INDONESIA:  SUMBAWA ISLAND:  DOMPU,,,,
5684.0,INDONESIA,"INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA",,,,
5702.0,INDONESIA,INDONESIA:  FLORES:  REO,,,,
5696.0,INDONESIA,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",,,,
5713.0,INDONESIA,INDONESIA:  HALMAHERA:  WASILE,,,,
5745.0,INDONESIA,"INDONESIA:  FLORES, RUTENG",,,,
5752.0,INDONESIA,"INDONESIA:  BALI, LOMBOK",,,,
6611.0,INDONESIA,INDONESIA:  SERAM,,,,
5758.0,INDONESIA,INDONESIA:  NABIRE,,,,
5759.0,INDONESIA,INDONESIA:  NABIRE,,,,
5762.0,INDONESIA,INDONESIA:  SUMATRA:  PADANGPANJANG,,,,
5763.0,INDONESIA,INDONESIA:  SUMATRA:  PESISIR SELATAN,,,,
5772.0,INDONESIA,INDONESIA:  SUMATRA:  PADANG,,,,
5774.0,INDONESIA,INDONESIA:  BALI,,,,
5775.0,INDONESIA,INDONESIA:  TIMOR: KUPANG,,,,
5810.0,INDONESIA,INDONESIA:  KEPULAUAN ALOR,,,,
5817.0,INDONESIA,INDONESIA:  NABIRE,,,,
5823.0,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,,,,
5839.0,INDONESIA,INDONESIA:  SULAWESI:  PALU,,,,
5844.0,INDONESIA,INDONESIA:  JAVA:  GARUT,,,,
6657.0,INDONESIA,INDONESIA:  SUMATERA:  SW,,,,
6659.0,INDONESIA,INDONESIA:  PADANG,,,,
6757.0,INDONESIA,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,,,,
6758.0,INDONESIA,INDONESIA:  SULAWESI:  DONGGALA,,,,
6760.0,INDONESIA,INDONESIA:  TIMOR:  TIMOR TENGAH UTARA,,,,
8956.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
7230.0,INDONESIA,INDONESIA:  SERAM,,,,
7233.0,INDONESIA,INDONESIA:  N. SUMATRA: TAPAKTUAN,,,,
7244.0,INDONESIA,INDONESIA:  SUMATRA:  KALIANDAK,,,,
7245.0,INDONESIA,"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA",,,,
7181.0,INDONESIA,INDONESIA:  JAVA,,,,
7419.0,INDONESIA,INDONESIA:  SULAWESI: PINRANG,,,,
7414.0,INDONESIA,INDONESIA:  HALMAHERA:  MOROTAI,,,,
7420.0,INDONESIA,INDONESIA:  SUMABAWA:  BIMA,,,,
7444.0,INDONESIA,"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",,,,
7456.0,INDONESIA,INDONESIA:  MOLUCCA ISLANDS:  N,,,,
7481.0,INDONESIA,INDONESIA:  SUMATRA:  SOUTHERN,,,,
7524.0,INDONESIA,INDONESIA: LABUHA,,,,
7599.0,INDONESIA,INDONESIA:  MALUKU:  N,,,,
7533.0,INDONESIA,INDONESIA:  JAVA,,,,
7617.0,INDONESIA,INDONESIA:  SITUBONDO,,,,
7574.0,INDONESIA,INDONESIA:  SUMATRA,,,,
7575.0,INDONESIA,INDONESIA:  SUMATRA,,,,
7674.0,INDONESIA,INDONESIA:  SUMBAWA ISLAND,,,,
7747.0,INDONESIA,"INDONESIA: NEW GUINEA: MANOKWARI,",,,,
7750.0,INDONESIA,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,,,,
7870.0,INDONESIA,INDONESIA:  SUMATERA:  ACEH PROVINCE,,,,
7743.0,INDONESIA,INDONESIA:  SUMATRA:  PADANG,,,,
8185.0,INDONESIA,INDONESIA:  SUMATRA:  SOUTHERN,,,,
8191.0,INDONESIA,INDONESIA:  MINAHASSA PENINSULA,,,,
8204.0,INDONESIA,PAPUA NEW GUINEA:  NEAR NORTH COAST,,,,
8211.0,INDONESIA,PAPUA NEW GUINEA:  NEAR NORTH COAST,,,,
8251.0,INDONESIA,INDONESIA:  KEPULAUAN TALAUD,,,,
8472.0,INDONESIA,INDONESIA:  SUMATRA:  PADANG,,,,
8386.0,INDONESIA,INDONESIA:  JAVA,,,,
8534.0,INDONESIA,INDONESIA:  BALI:  DENPASAR,,,,
8409.0,INDONESIA,INDONESIA:  SUMATRA:  PADANG,,,,
8552.0,INDONESIA,INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI,,,,
8451.0,INDONESIA,INDONESIA:  SUMABAWA:  BIMA,,,,
8992.0,INDONESIA,INDONESIA:  JAVA:  GARUT,,,,
8973.0,INDONESIA,INDONESIA:  SUMATRA,,,,
9092.0,INDONESIA,INDONESIA:  N. SUMATRA: SIMEULUE ISLAND,,,,
9292.0,INDONESIA,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,,,,
9592.0,INDONESIA,INDONESIA:  SUMATRA,,,,
9864.0,INDONESIA,INDONESIA:   SULAWESI:  KENDARI,,,,
9840.0,INDONESIA,INDONESIA:  SUMATRA,,,,
9879.0,INDONESIA,INDONESIA:  N SUMATRA:  OFF WEST COAST,,,,
9880.0,INDONESIA,INDONESIA:  N SUMATRA:  OFF WEST COAST,,,,
9909.0,INDONESIA,INDONESIA:  JAVA,,,,
9951.0,INDONESIA,INDONESIA: BANDA ACEH,,,,
9938.0,INDONESIA,"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",,,,
9957.0,INDONESIA,INDONESIA:  SUMATERA:  N,,,,
10006.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,,,,
10005.0,INDONESIA,INDONESIA:  BANDA ACEH,,,,
10038.0,INDONESIA,INDONESIA:  JAVA,,,,
10050.0,INDONESIA,INDONESIA:  BANDA ACEH,,,,
10070.0,INDONESIA,INDONESIA:  JAVA:  BANYUMAS,,,,
10119.0,INDONESIA,INDONESIA:  N. MOLUCCAS ISLANDS,,,,
10149.0,INDONESIA,INDONESIA:  PAPUA,,,,
10158.0,INDONESIA,INDONESIA:  SORONG,,,,
10343.0,INDONESIA,INDONESIA:  EAST NUSA TENGGARA:  ALOR,,,,
10171.0,INDONESIA,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND",,,,
10175.0,INDONESIA,INDONESIA: SUMATRA:,,,,
10365.0,INDONESIA,INDONESIA:  SUMATRA:  PESISIR SELATAN,,,,
10185.0,INDONESIA,INDONESIA:  MALUKU:  TERNATE ISLAND,,,,
10189.0,INDONESIA,INDONESIA:  SUMBAWA ISLAND:  WEST NUSA TENGGARA,,,,
10215.0,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,,,,
10436.0,INDONESIA,INDONESIA:  BALI,,,,
10250.0,INDONESIA,INDONESIA:  SULAWESI:  POSO,,,,
10319.0,INDONESIA,INDONESIA:  MALUKU:  AMBON,,,,
10282.0,INDONESIA,INDONESIA: NORTH MALUKU: MOROTAI,,,,
10287.0,INDONESIA,INDONESIA:  JAVA,,,,
10299.0,INDONESIA,INDONESIA:  JAVA:  BANTEN,,,,
10327.0,INDONESIA,INDONESIA:  JAVA:  BANJARNEGARA,,,,
10581.0,INDONESIA,"INDONESIA:  MADURA ISLAND, JAVA",,,,
10348.0,INDONESIA,INDONESIA: SUMATRA: SOLOK,,,,
10349.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,,,,
10351.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,,,,
10352.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,,,,
10354.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,,,,
10355.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,,,,
10584.0,INDONESIA,INDONESIA:  SULAWESI,,,,
10371.0,INDONESIA,"INDONESIA:  MADURA ISLAND, JAVA",,,,
10374.0,INDONESIA,INDONESIA:  SULAWESI:  MAMASA,,,,
10398.0,INDONESIA,INDONESIA: SUMATRA: SOLOK,,,,
10399.0,INDONESIA,INDONESIA:  LOMBOK ISLAND,,,,
10402.0,INDONESIA,INDONESIA:  SULAWESI ISLAND: LUWUK,,,,
10426.0,INDONESIA,INDONESIA:  MOLUCCA ISLANDS:  N,,,,
10431.0,INDONESIA,INDONESIA:  JAVA:  BANTEN,,,,
10448.0,INDONESIA,INDONESIA:  MALUKU:  AMBON,,,,
10452.0,INDONESIA,INDONESIA:  PASSO,,,,
10458.0,INDONESIA,INDONESIA:  MALUKU:  AMBON,,,,
10457.0,INDONESIA,INDONESIA:  MOLUCCA ISLANDS:  N,,,,
10483.0,INDONESIA,"INDONESIA:  JAVA:  SUKABUMI, BOGOR",,,,
10501.0,INDONESIA,INDONESIA:  JAVA:  IJEN,,,,
10502.0,INDONESIA,INDONESIA: NORTH MALUKU: MOROTAI,,,,
10539.0,INDONESIA,"INDONESIA: JAVA: LUMAJANG, MALANG",,,,
10551.0,INDONESIA,INDONESIA: MALUKU,,,,
10567.0,INDONESIA,INDONESIA: CENTRAL SULAWESI: TOJO UNA-UNA,,,,
10585.0,INDONESIA,"INDONESIA:  BALI: KARANGASEM, BANGLI",,,,
10591.0,INDONESIA,INDONESIA:  FLORES REGION,,,,
10598.0,INDONESIA,"INDONESIA: PANDEGLANG, BANTEN",,,,
10603.0,INDONESIA,"INDONESIA: W SUMATRA: PASAMAN, WEST PASAMAN",,,,
10648.0,INDONESIA,INDONESIA:  SUMATRA,,,,
10658.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
10664.0,INDONESIA,INDONESIA: NEW GUINEA: IRIAN JAYA: JAYAPURA,,,,
10682.0,INDONESIA,INDONESIA:  SUMATRA:  MENTAWAI ISLANDS,,,,
10700.0,INDONESIA,INDONESIA: JAVA: YOGYAKARTA,,,,
10703.0,INDONESIA,INDONESIA: SULAWESI: SIGI,,,,
4788.0,JAPAN,"JAPAN:  TOKKAIDO, OSHIMA",4.0,1.0,,
2566.0,JAPAN,JAPAN:  SEA OF JAPAN,,,,
6575.0,JAPAN,"IWATE, JAPAN",,,,
