Id,Country,Location Name,Mag,Deaths,Houses Destroyed,Houses Damaged
9937.0,CHINA,CHINA: YUNNAN PROVINCE:  ZHAOTONG:  YILIANG,5.6,81.0,37000.0,133000.0
10018.0,CHINA,"CHINA:   GANSU:  DINGXI, MIN",6.0,95.0,123000.0,138000.0
2589.0,BULGARIA,"BULGARIA:  BALCHIK, KAVARNA, BLATNITSA, LIMANU",6.4,4.0,1200.0,1200.0
4448.0,PHILIPPINES,PHILIPPINES:  LUZON:  MANILA,7.3,270.0,57.0,388.0
10048.0,PHILIPPINES,"PHILIPPINES:  BOHOL, CEBU, SIQUIJOR IS",7.1,222.0,8897.0,7782.0
3598.0,PHILIPPINES,PHILIPPINES:  LUZON,7.5,1.0,538.2222222222222,388.0
3929.0,PHILIPPINES,PHILIPPINES:  LUZON:  E,7.2,6.953488372093023,61.0,61.5
4764.0,PHILIPPINES,PHILIPPINES:  LUZON:  MANILA,7.3,1.0,14.0,22.0
4987.0,PHILIPPINES,PHILIPPINES:  LUZON,6.5,16.0,538.2222222222222,388.0
5736.0,PHILIPPINES,PHILIPPINES:  SAMAR:  CAN-AVID,6.5,1.0,1.0,388.0
10238.0,PHILIPPINES,PHILIPPINES: SURIGAO DEL NORTE,6.5,8.0,215.0,3042.0
10258.0,PHILIPPINES,PHILIPPINES: LEYTE,6.5,4.0,735.0,1029.0
10406.0,PHILIPPINES,PHILIPPINES:  PAMPANGA PROVINCE,6.1,18.0,1046.0,3329.0
10453.0,PHILIPPINES,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",6.4,7.0,506.0,2664.0
10454.0,PHILIPPINES,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",6.6,12.0,22363.0,12119.0
10455.0,PHILIPPINES,"PHILIPPINES:  COTABATO, SULTAN KUDARAT",6.5,9.0,538.2222222222222,388.0
10462.0,PHILIPPINES,PHILIPPINES:  MINDANAO:  DAVAO,6.8,13.0,4546.0,21495.0
10515.0,PHILIPPINES,PHILIPPINES:  MASBATE,6.6,2.0,138.0,1167.0
10640.0,PHILIPPINES,PHILIPPINES: LUZON: ABRA,7.0,11.0,856.0,35924.0
10719.0,PHILIPPINES,PHILIPPINES:  MINDANAO:  DAVAO,6.7,11.0,602.0,5983.0
10721.0,PHILIPPINES,PHILIPPINES:  MINDANAO:  E,7.6,3.0,390.0,8315.0
3869.0,PHILIPPINES,"PHILIPPINES:  PANAY, ILOILO CITY, ANTIQUE",7.8,72.0,538.2222222222222,388.0
5394.0,PHILIPPINES,PHILIPPINES:  MINDORO,7.1,81.0,1530.0,6036.0
5569.0,NICARAGUA,NICARAGUA:  MASAYA,5.4,7.0,357.0,1130.0
10083.0,NICARAGUA,"NICARAGUA:  NAGAROTE, MANAGUA",6.1,2.0,168.0,2210.0
10373.0,NICARAGUA,NICARAGUA:  LEON,5.5,1.0,6.0,487.0
