"Search Parameters"	"Id"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"Mw"	"Ms"	"Mb"	"Ml"	"Mfa"	"Unk"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1900 <= Year >= 2024""]"																																																
	10237	2017	2	7	22	3	56.4			"PAKISTAN"		60	"PAKISTAN:  PASNI"	25.191	63.264	29	6.3	6.3						6								1	20	1		1								1	20	1		1
	10238	2017	2	10	14	3	43.9			"PHILIPPINES"		170	"PHILIPPINES: SURIGAO DEL NORTE"	9.907	125.452	15	6.5	6.5						8	8	1			202	3	40	4	215	3	3042	4	8	1			202	3	40	4	215	3	3042	4
	10404	2017	2	24	0	32	17.8			"ZAMBIA"		10	"ZAMBIA:  KAPUTA"	-8.44	30.031	30	5.9	5.9						4					5	1		1		1							5	1		1		1		
	10316	2017	3	5	0	8	18			"PHILIPPINES"		170	"PHILIPPINES: SURIGAO DEL NORTE"	9.831	125.496	11	5.7	5.7						7	1	1			45	1		1	13	1			1	1			45	1		1	13	1		
	10239	2017	3	13	14	19	6.7			"MYANMAR (BURMA)"		60	"MYANMAR (BURMA):  THARRAWADDY"	17.399	96	10	5.1			5.1				5	2	1			36	1		1		1		1	2	1			36	1		1		1		1
	10436	2017	3	21	23	10	25.2			"INDONESIA"		60	"INDONESIA:  BALI"	-8.492	115.323	112	5.6	5.6						5					4	1		2		1							4	1		2		1		
	10468	2017	3	26	23	55	6.3			"CHINA"		30	"CHINA:   YUNNAN PROVINCE"	25.938	99.841	28	5			5				2					1	1	31	4				2					1	1	31	4				2
	10240	2017	4	5	6	9	12.2			"IRAN"		140	"IRAN:  SEFID SANG"	35.776	60.436	13	6.1	6.1						6	2	1			11	1		1				1	2	1			11	1		1				1
	10242	2017	4	8	7	9	23.2			"PHILIPPINES"		170	"PHILIPPINES: BATANGAS, CALABARZON"	13.77	120.935	14	5.9	5.9						7					6	1	2	2	506	3	2108	4					6	1	2	2	506	3	2108	4
	10241	2017	4	10	23	53	58.6			"EL SALVADOR"		100	"EL SALVADOR: SAN SALVADOR,SOYAPANGO"	13.766	-89.155	10	4.8			4.8				7	1	1			3	1		1				2	1	1			3	1		1				2
