Search Parameters,Id,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Country,Area,Region,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Mw,Ms,Mb,Ml,Mfa,Unk,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
"[""1900 <= Year >= 2024""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10221.0,2016.0,12.0,19.0,7.0,11.0,39.6,,,ECUADOR,,160.0,ECUADOR:  ESMERALDAS,0.875,-79.708,10.0,5.4,5.4,,,,,,6.0,3.0,1.0,,,47.0,1.0,,2.0,10.0,1.0,70.0,2.0,3.0,1.0,,,47.0,1.0,,2.0,10.0,1.0,70.0,2.0
,10224.0,2016.0,12.0,25.0,14.0,22.0,27.0,5637.0,,CHILE,,160.0,CHILE,-43.406,-73.941,38.0,7.6,7.6,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
,10226.0,2017.0,1.0,3.0,9.0,9.0,2.1,,,INDIA,,60.0,INDIA:  AMBASA;  BANGLADESH,24.015,92.018,32.0,5.7,5.7,,,,,,6.0,3.0,1.0,,,,3.0,,3.0,1492.0,4.0,5200.0,4.0,3.0,1.0,,,,3.0,,3.0,1492.0,4.0,5200.0,4.0
,10225.0,2017.0,1.0,3.0,21.0,52.0,30.7,5639.0,,FIJI,,170.0,FIJI ISLANDS,-19.373,176.052,12.0,6.9,6.9,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
,10227.0,2017.0,1.0,6.0,2.0,33.0,29.2,,,IRAN,,140.0,IRAN:  KHONJ,28.2,53.107,10.0,5.0,5.0,,,,,,,4.0,1.0,,,4.0,1.0,,1.0,,,,,4.0,1.0,,,4.0,1.0,,1.0,,,,
,10254.0,2017.0,1.0,11.0,22.0,6.0,58.7,,,MADAGASCAR,,60.0,MADAGASCAR: ANTSIRABE,-20.16,46.647,7.0,5.5,5.5,,,,,,6.0,2.0,1.0,,,,1.0,,1.0,,,,1.0,2.0,1.0,,,,1.0,,1.0,,,,1.0
,10234.0,2017.0,1.0,18.0,10.0,14.0,11.0,,,ITALY,,130.0,ITALY:  FARINDOLA,42.601,13.227,7.0,5.7,5.7,,,,,,6.0,34.0,1.0,,,11.0,1.0,18.0,3.0,,1.0,,,34.0,1.0,,,11.0,1.0,18.0,3.0,,1.0,,
,10235.0,2017.0,1.0,22.0,4.0,30.0,23.0,5642.0,,PAPUA NEW GUINEA,,170.0,PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND,-6.246,155.172,135.0,7.9,7.9,,,,,,9.0,3.0,1.0,,,,,,1.0,,3.0,,,3.0,1.0,,,,,,1.0,,3.0,,
,10405.0,2017.0,2.0,6.0,3.0,51.0,40.6,,,TURKEY,,140.0,TURKEY:  CANAKKALE,39.599,26.065,10.0,5.3,5.3,,,,,,4.0,,,,,5.0,1.0,,2.0,,,90.0,2.0,,,,,5.0,1.0,,2.0,,,90.0,2.0
,10403.0,2017.0,2.0,6.0,13.0,2.0,45.1,,,COLOMBIA,,160.0,COLOMBIA:  HUILA,3.449,-74.672,38.0,5.5,5.5,,,,,,6.0,,,,,,,,2.0,,,378.0,3.0,,,,,,,,2.0,,,378.0,3.0
,10237.0,2017.0,2.0,7.0,22.0,3.0,56.4,,,PAKISTAN,,60.0,PAKISTAN:  PASNI,25.191,63.264,29.0,6.3,6.3,,,,,,6.0,,,,,,,,1.0,20.0,1.0,,1.0,,,,,,,,1.0,20.0,1.0,,1.0
,10238.0,2017.0,2.0,10.0,14.0,3.0,43.9,,,PHILIPPINES,,170.0,PHILIPPINES: SURIGAO DEL NORTE,9.907,125.452,15.0,6.5,6.5,,,,,,8.0,8.0,1.0,,,202.0,3.0,40.0,4.0,215.0,3.0,3042.0,4.0,8.0,1.0,,,202.0,3.0,40.0,4.0,215.0,3.0,3042.0,4.0
,10404.0,2017.0,2.0,24.0,0.0,32.0,17.8,,,ZAMBIA,,10.0,ZAMBIA:  KAPUTA,-8.44,30.031,30.0,5.9,5.9,,,,,,4.0,,,,,5.0,1.0,,1.0,,1.0,,,,,,,5.0,1.0,,1.0,,1.0,,
,10316.0,2017.0,3.0,5.0,0.0,8.0,18.0,,,PHILIPPINES,,170.0,PHILIPPINES: SURIGAO DEL NORTE,9.831,125.496,11.0,5.7,5.7,,,,,,7.0,1.0,1.0,,,45.0,1.0,,1.0,13.0,1.0,,,1.0,1.0,,,45.0,1.0,,1.0,13.0,1.0,,
,10239.0,2017.0,3.0,13.0,14.0,19.0,6.7,,,MYANMAR (BURMA),,60.0,MYANMAR (BURMA):  THARRAWADDY,17.399,96.0,10.0,5.1,,,5.1,,,,5.0,2.0,1.0,,,36.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,,,36.0,1.0,,1.0,,1.0,,1.0
,10436.0,2017.0,3.0,21.0,23.0,10.0,25.2,,,INDONESIA,,60.0,INDONESIA:  BALI,-8.492,115.323,112.0,5.6,5.6,,,,,,5.0,,,,,4.0,1.0,,2.0,,1.0,,,,,,,4.0,1.0,,2.0,,1.0,,
,10468.0,2017.0,3.0,26.0,23.0,55.0,6.3,,,CHINA,,30.0,CHINA:   YUNNAN PROVINCE,25.938,99.841,28.0,5.0,,,5.0,,,,2.0,,,,,1.0,1.0,31.0,4.0,,,,2.0,,,,,1.0,1.0,31.0,4.0,,,,2.0
,10240.0,2017.0,4.0,5.0,6.0,9.0,12.2,,,IRAN,,140.0,IRAN:  SEFID SANG,35.776,60.436,13.0,6.1,6.1,,,,,,6.0,2.0,1.0,,,11.0,1.0,,1.0,,,,1.0,2.0,1.0,,,11.0,1.0,,1.0,,,,1.0
,10242.0,2017.0,4.0,8.0,7.0,9.0,23.2,,,PHILIPPINES,,170.0,"PHILIPPINES: BATANGAS, CALABARZON",13.77,120.935,14.0,5.9,5.9,,,,,,7.0,,,,,6.0,1.0,2.0,2.0,506.0,3.0,2108.0,4.0,,,,,6.0,1.0,2.0,2.0,506.0,3.0,2108.0,4.0
,10241.0,2017.0,4.0,10.0,23.0,53.0,58.6,,,EL SALVADOR,,100.0,"EL SALVADOR: SAN SALVADOR,SOYAPANGO",13.766,-89.155,10.0,4.8,,,4.8,,,,7.0,1.0,1.0,,,3.0,1.0,,1.0,,,,2.0,1.0,1.0,,,3.0,1.0,,1.0,,,,2.0
,10244.0,2017.0,4.0,24.0,21.0,38.0,30.8,5647.0,,CHILE,,160.0,CHILE:  VALPARAISO,-33.038,-72.062,28.0,6.9,6.9,,6.3,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
,10245.0,2017.0,4.0,28.0,20.0,23.0,17.3,5648.0,,PHILIPPINES,,170.0,PHILIPPINES: SARANGANI,5.504,125.066,26.0,6.9,6.9,,,,,,9.0,,,,,5.0,1.0,,1.0,1.0,1.0,,1.0,,,,,7.0,1.0,,1.0,1.0,1.0,,1.0
,10247.0,2017.0,5.0,1.0,12.0,31.0,3.0,5649.0,,CANADA,,150.0,ALASKA:  SKAGWAY; CANADA:  BRITISH COLUMBIA,59.821,-136.711,10.0,6.2,6.2,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
,10437.0,2017.0,5.0,3.0,4.0,47.0,13.4,,,TAJIKISTAN,,40.0,"KYRGYZSTAN:  OSH, BATKEN",39.494,71.444,11.0,6.0,6.0,,,,,,5.0,,,,,,,,3.0,537.0,3.0,,,,,,,,,,3.0,537.0,3.0,,
,10248.0,2017.0,5.0,10.0,21.0,58.0,21.7,,,CHINA,,40.0,"CHINA: XINJIANG: QUZGUN, TAXKORGAN TAJIK",37.643,75.31,8.0,5.4,5.4,,,,,,3.0,8.0,1.0,,,23.0,1.0,123.0,4.0,3015.0,4.0,,,8.0,1.0,,,23.0,1.0,123.0,4.0,3015.0,4.0,,
,10438.0,2017.0,5.0,11.0,3.0,24.0,21.4,,,AZERBAIJAN,,40.0,IRAN:  ARDABIL,39.816,48.57,63.0,5.1,,,5.1,,,,5.0,,,,,20.0,1.0,,2.0,,,85.0,2.0,,,,,20.0,1.0,,2.0,,,85.0,2.0
,10249.0,2017.0,5.0,13.0,18.0,0.0,59.5,,,IRAN,,140.0,IRAN: KHORASAN,37.769,57.206,8.0,5.6,5.6,,5.5,,,,7.0,3.0,1.0,,,417.0,3.0,2.0,2.0,,1.0,,4.0,3.0,1.0,,,417.0,3.0,2.0,2.0,,1.0,,4.0
,10255.0,2017.0,5.0,25.0,9.0,55.0,35.5,,,TANZANIA,,10.0,TANZANIA: MWANZA,-3.043,32.888,10.0,4.4,,,4.4,,,,3.0,1.0,1.0,,,18.0,1.0,,,,,,,1.0,1.0,,,18.0,1.0,,,,,,
,10251.0,2017.0,5.0,28.0,11.0,4.0,59.4,,,TURKEY,,140.0,"TURKEY: MANISA: SARUHANLI, GOLMARMARA",38.764,27.778,3.0,4.9,4.9,,5.0,,,,5.0,,,,,,,,2.0,,,35.0,1.0,,,,,,,,2.0,,,35.0,1.0
